column_name,Description,source_sheet,type_status,column_type,is_required,actual_column_in_loans,business_category,test_function,test_type
amount requested,The total amount requested by the borrower,RejectStats,not_in_file,,False,,financial_metrics,"['count_records', 'check_nulls', 'dtype_consistency', 'check_consistency', 'moving_average']","['stability', 'completeness']"
application date,The date which the borrower applied ,RejectStats,not_in_file,,False,,dates,"['count_records', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
loan title,The loan title provided by the borrower,RejectStats,not_in_file,,False,,loan_info,"['count_records', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'accuracy']"
risk_score,"For applications prior to November 5, 2013 the risk score is the borrower's FICO score. For applications after November 5, 2013 the risk score is the borrower's Vantage score.",RejectStats,not_in_file,,False,,loan_info,"['count_records', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'accuracy']"
debt-to-income ratio,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.",RejectStats,not_in_file,,False,,loan_info,"['count_records', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'accuracy']"
zip code,The first 3 numbers of the zip code provided by the borrower in the loan application.,RejectStats,not_in_file,,False,,loan_info,"['count_records', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'accuracy']"
state,The state provided by the borrower in the loan application,RejectStats,not_in_file,,False,,loan_info,"['count_records', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'accuracy']"
employment length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.,RejectStats,not_in_file,,False,,employment_info,"['dtype_consistency', 'count_records', 'check_nulls', 'check_consistency']","['stability', 'completeness', 'consistency']"
policy code,"publicly available policy_code=1
new products not publicly available policy_code=2",RejectStats,not_in_file,,False,,loan_info,"['count_records', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'accuracy']"
acc_now_delinq,The number of accounts on which the borrower is now delinquent.,RLoanStatNew,found,string,True,acc_now_delinq,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
acc_open_past_24mths,Number of trades opened in past 24 months.,RLoanStatNew,found,int,True,acc_open_past_24mths,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
addr_state,The state provided by the borrower in the loan application,RLoanStatNew,found,string,True,addr_state,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
all_util,Balance to credit limit on all trades,RLoanStatNew,found,string,True,all_util,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
annual_inc,The self-reported annual income provided by the borrower during registration.,RLoanStatNew,found,string,True,annual_inc,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
annual_inc_joint,The combined self-reported annual income provided by the co-borrowers during registration,RLoanStatNew,found,string,True,annual_inc_joint,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers,RLoanStatNew,found,string,True,application_type,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
avg_cur_bal,Average current balance of all accounts,RLoanStatNew,found,string,True,avg_cur_bal,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
bc_open_to_buy,Total open to buy on revolving bankcards.,RLoanStatNew,found,int,True,bc_open_to_buy,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
bc_util,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,RLoanStatNew,found,string,True,bc_util,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
chargeoff_within_12_mths,Number of charge-offs within 12 months,RLoanStatNew,found,double,True,chargeoff_within_12_mths,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
collection_recovery_fee,post charge off collection fee,RLoanStatNew,found,string,True,collection_recovery_fee,other,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'basic_validation']"
collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections,RLoanStatNew,found,string,True,collections_12_mths_ex_med,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years,RLoanStatNew,found,string,True,delinq_2yrs,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
delinq_amnt,The past-due amount owed for the accounts on which the borrower is now delinquent.,RLoanStatNew,found,int,True,delinq_amnt,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
desc,Loan description provided by the borrower,RLoanStatNew,found,string,True,desc,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.",RLoanStatNew,found,string,True,dti,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
dti_joint,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income",RLoanStatNew,found,string,True,dti_joint,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
earliest_cr_line,The month the borrower's earliest reported credit line was opened,RLoanStatNew,found,string,True,earliest_cr_line,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. ,RLoanStatNew,found,string,True,emp_length,employment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'consistency']"
emp_title,The job title supplied by the Borrower when applying for the loan.*,RLoanStatNew,found,string,True,emp_title,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
fico_range_high,The upper boundary range the borrower’s FICO at loan origination belongs to.,RLoanStatNew,not_in_file,,False,,loan_info,"['count_records', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'accuracy']"
fico_range_low,The lower boundary range the borrower’s FICO at loan origination belongs to.,RLoanStatNew,not_in_file,,False,,loan_info,"['count_records', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'accuracy']"
funded_amnt,The total amount committed to that loan at that point in time.,RLoanStatNew,found,int,True,funded_amnt,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
funded_amnt_inv,The total amount committed by investors for that loan at that point in time.,RLoanStatNew,found,double,True,funded_amnt_inv,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
grade,LC assigned loan grade,RLoanStatNew,found,string,True,grade,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
